OTUID,Kingdom,Phylum,Order,Class,Family,Genus,Species
61eb089fff2789d84677067526716377,D_0__Bacteria,D_1__Omnitrophicaeota,D_2__unculturedbacterium,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
61edf519a754eb4758d5ed76777a8847,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Lachnospiraceae,,
61ee51491d1d9eaa4022df152d919b42,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Myxococcales,D_4__mle1-27,D_5__metagenome,D_6__metagenome
61ef5d6eef9404ecfcc67d5d2cd90053,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Desulfuromonadales,D_4__Geobacteraceae,D_5__Geobacter,
61f7d9d962b01e22e78f28bdb4205323,D_0__Bacteria,D_1__Planctomycetes,D_2__Phycisphaerae,D_3__Phycisphaerales,D_4__Phycisphaeraceae,D_5__SM1A02,D_6__unculturedprokaryote
61fc7128deb7d720274c849a238e55fa,D_0__Bacteria,D_1__Planctomycetes,D_2__Planctomycetacia,D_3__Pirellulales,D_4__Pirellulaceae,D_5__CandidatusAnammoximicrobium,D_6__unculturedsoilbacterium
61ff556e89f954f70015625bb2ace4d6,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__SJA-28,D_4__unculturedsoilbacterium,D_5__unculturedsoilbacterium,D_6__unculturedsoilbacterium
62004c75c56ec2159fa9f901c13fc67e,D_0__Bacteria,D_1__Chloroflexi,D_2__Chloroflexia,D_3__Chloroflexales,D_4__Chloroflexaceae,D_5__Chloronema,D_6__ChloroflexaceaebacteriumenrichmentculturecloneENRICH_SisoF2
620885b3294acaf615604c4e7e9bc2d8,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__Sphingobacteriaceae,,
620923e7622e318092726a34deccd9c9,D_0__Bacteria,D_1__FCPU426,D_2__unculturedbacterium,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
620aa5580e57725a77543a0d19c1fbe8,D_0__Bacteria,D_1__Patescibacteria,D_2__Gracilibacteria,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
62110eb90f840d6b657ef2241e6c2c89,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Spirosomaceae,,
621fde95b8e76ead33fe8f7740d03fb8,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Burkholderiaceae,,
62294f474029fe63ac2c33fd6cd398be,D_0__Bacteria,D_1__Omnitrophicaeota,D_2__unculturedbacterium,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
62300ff4c244b7e02d4f0626da56633b,D_0__Bacteria,D_1__Patescibacteria,D_2__Microgenomatia,D_3__CandidatusWoesebacteria,,,
6230f65b09d0269a4f5a5cf5592dcd9d,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Prolixibacteraceae,D_5__Roseimarinus,D_6__unculturedbacterium
6230f998803932af2310bbb8f8328f6b,D_0__Bacteria,D_1__Chloroflexi,D_2__TK10,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
